Service Request Number,Service Request Type,City Department,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Neighborhood
21-00167978,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/01/2021 07:57:01 AM,Find It Fix It Apps,Closed,"4423 BAGLEY AVE N, SEATTLE, WA 98103",1270931.44519122,244722.460451142,47.6610281,-122.33280154,POINT (-122.33280154 47.6610281),98103,4,NORTH,WALLINGFORD
21-00168007,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/01/2021 08:55:29 AM,Find It Fix It Apps,Closed,"700 E PIKE ST, SEATTLE, WA 98122",1272985.17174155,227609.565500356,47.6142315,-122.32312479,POINT (-122.32312479 47.6142315),98122,3,EAST,BROADWAY
21-00168005,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/01/2021 08:53:26 AM,Find It Fix It Apps,Reported,"611 E PIKE ST, SEATTLE, WA 98122",1272805.78753161,227501.889379831,47.61392684,-122.32384348,POINT (-122.32384348 47.61392684),98122,3,EAST,FIRST HILL
21-00168139,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/01/2021 12:12:58 PM,Find It Fix It Apps,Reported,"1002 10TH AVE E, SEATTLE, WA 98102",1273827.96356986,232534.99914152,47.62777668,-122.32009422,POINT (-122.32009422 47.62777668),98102,3,EAST,BROADWAY
21-00168501,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 09:05:22 AM,Find It Fix It Apps,Open,"2101 N 55TH ST, SEATTLE, WA 98103",1270875.35171989,247476.524052153,47.66857389,-122.33324693,POINT (-122.33324693 47.66857389),98103,6,NORTH,WALLINGFORD
21-00168550,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 09:48:12 AM,Find It Fix It Apps,Reported,"1430 SUMMIT AVE, SEATTLE, WA 98122",1272460.7380998,227487.840925008,47.61387,-122.32524107,POINT (-122.32524107 47.61387),98122,3,EAST,FIRST HILL
21-00168541,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 09:45:37 AM,Find It Fix It Apps,Reported,"2618 ALKI AVE SW, SEATTLE, WA 98116",1252005.95813684,215615.204367337,47.58021084,-122.40716979,POINT (-122.40716979 47.58021084),98116,1,SOUTHWEST,ALKI
21-00168565,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 09:54:30 AM,Find It Fix It Apps,Reported,"1001 PIKE ST, SEATTLE, WA 98101",1271292.68437877,227169.678794296,47.61293576,-122.32995076,POINT (-122.32995076 47.61293576),98101,7,EAST,FIRST HILL
21-00169018,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 02:39:54 PM,Find It Fix It Apps,Reported,"600 9TH AVE, SEATTLE, WA 98104",1272539.99402526,224551.813231672,47.60582664,-122.32468913,POINT (-122.32468913 47.60582664),98104,3,EAST,FIRST HILL
21-00169121,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 03:51:14 PM,Find It Fix It Apps,Reported,"4207 UNIVERSITY WAY NE, SEATTLE, WA 98105",1275688.13903537,243726.299794946,47.65855008,-122.31342467,POINT (-122.31342467 47.65855008),98105,4,NORTH,UNIVERSITY DISTRICT
21-00169299,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 07:42:11 PM,Find It Fix It Apps,Closed,"6209 MERIDIAN AVE N, SEATTLE, WA 98103",1270811.31871529,249417.958792341,47.67389187,-122.33366037,POINT (-122.33366037 47.67389187),98103,6,NORTH,GREEN LAKE
21-00169356,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 10:01:17 PM,Citizen Web Intake App,Reported,"1530 5TH AVE, SEATTLE, WA 98101",1269787.66149783,226709.654967141,47.61159445,-122.33601493,POINT (-122.33601493 47.61159445),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00169357,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/02/2021 10:03:16 PM,Citizen Web Intake App,Reported,"1602 4TH AVE, SEATTLE, WA 98101",1269418.10176882,226597.61177299,47.61126755,-122.33750401,POINT (-122.33750401 47.61126755),98101,7,WEST,CENTRAL BUSINESS DISTRICT
21-00169642,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/03/2021 11:07:17 AM,Find It Fix It Apps,Closed,"8307 GREENWOOD AVE N, SEATTLE, WA 98103",1265477.26699623,255173.85748969,47.68938136,-122.35576928,POINT (-122.35576928 47.68938136),98103,6,NORTH,GREENWOOD
21-00169655,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/03/2021 11:15:19 AM,Find It Fix It Apps,Closed,"141 N 84TH ST, SEATTLE, WA 98103",1265420.07621575,255276.416380402,47.68965937,-122.35600968,POINT (-122.35600968 47.68965937),98103,6,NORTH,GREENWOOD
21-00169685,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/03/2021 11:42:51 AM,Find It Fix It Apps,Reported,"2516 E CHERRY ST, SEATTLE, WA 98122",1278791.99044712,225293.07292267,47.60818774,-122.29940723,POINT (-122.29940723 47.60818774),98122,3,EAST,MANN
21-00169943,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/03/2021 03:27:16 PM,Find It Fix It Apps,Closed,"1616 S ATLANTIC ST, SEATTLE, WA 98144",1275862.54735864,218756.636337918,47.59011786,-122.31077199,POINT (-122.31077199 47.59011786),98144,2,SOUTH,NORTH BEACON HILL
21-00170272,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/04/2021 09:07:22 AM,Find It Fix It Apps,Closed,"602 N 87TH ST, SEATTLE, WA 98103",1266715.73235962,256519.998973607,47.69313812,-122.35084958,POINT (-122.35084958 47.69313812),98103,5,NORTH,GREENWOOD
21-00170900,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/04/2021 06:13:33 PM,Citizen Web Intake App,Closed,"922 N 102ND ST, SEATTLE, WA 98133",1267862.12558184,260124.930075804,47.70308093,-122.34648333,POINT (-122.34648333 47.70308093),98133,5,NORTH,GREENWOOD
21-00170968,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/04/2021 10:31:31 PM,Find It Fix It Apps,Reported,"3317 E UNION ST, SEATTLE, WA 98122",1281252.74878232,226906.859052207,47.6127392,-122.28955717,POINT (-122.28955717 47.6127392),98122,3,EAST,MADRONA
21-00171015,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/05/2021 07:43:46 AM,Find It Fix It Apps,Closed,"1940 HARBOR AVE SW, SEATTLE, WA 98126",1259703.08183939,217591.528067309,47.58605507,-122.37615008,POINT (-122.37615008 47.58605507),98126,1,SOUTHWEST,INDUSTRIAL DISTRICT
21-00171237,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/05/2021 10:54:12 AM,Phone,Closed,"2111 N 55TH ST, SEATTLE, WA 98103",1270875.35171989,247476.524052153,47.66857389,-122.33324693,POINT (-122.33324693 47.66857389),98103,6,NORTH,WALLINGFORD
21-00171723,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/05/2021 07:49:18 PM,Find It Fix It Apps,Reported,"6532 PHINNEY AVE N, SEATTLE, WA 98103",1265828.84363366,250697.909128997,47.67713208,-122.353983,POINT (-122.353983 47.67713208),98103,6,NORTH,PHINNEY RIDGE
21-00172027,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 11:32:38 AM,Find It Fix It Apps,Closed as Duplicate,"1730 NW MARKET ST, SEATTLE, WA 98107",1259245.75013236,247837.9050405,47.66893328,-122.38046673,POINT (-122.38046673 47.66893328),98107,6,NORTH,ADAMS
21-00172041,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 11:42:36 AM,Find It Fix It Apps,Closed as Duplicate,"5400 BALLARD AVE NW, SEATTLE, WA 98107",1258120.99457003,247518.813009549,47.6679966,-122.38500465,POINT (-122.38500465 47.6679966),98107,6,NORTH,ADAMS
21-00172036,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 11:38:34 AM,Find It Fix It Apps,Closed as Duplicate,"5506 22ND AVE NW, SEATTLE, WA 98107",1258249.75057695,247849.858415161,47.66891108,-122.38450927,POINT (-122.38450927 47.66891108),98107,6,NORTH,ADAMS
21-00172047,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 11:44:37 AM,Find It Fix It Apps,Closed as Duplicate,"5400 BALLARD AVE NW, SEATTLE, WA 98107",1258120.99457003,247518.813009549,47.6679966,-122.38500465,POINT (-122.38500465 47.6679966),98107,6,NORTH,ADAMS
21-00172017,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 11:26:33 AM,Find It Fix It Apps,Closed,"4542 48TH AVE SW, SEATTLE, WA 98116",1255328.59658007,208801.963189212,47.56172172,-122.39315071,POINT (-122.39315071 47.56172172),98116,1,SOUTHWEST,GENESEE
21-00172171,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 01:17:59 PM,Find It Fix It Apps,Reported,"5119 S HENDERSON ST, SEATTLE, WA 98118",1285592.71352577,194167.423372252,47.52322375,-122.26948806,POINT (-122.26948806 47.52322375),98118,2,SOUTH,DUNLAP
21-00172480,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/06/2021 05:47:23 PM,Find It Fix It Apps,Reported,"600 9TH AVE, SEATTLE, WA 98104",1272539.99402526,224551.813231672,47.60582664,-122.32468913,POINT (-122.32468913 47.60582664),98104,3,EAST,FIRST HILL
21-00172662,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,08/07/2021 02:20:49 PM,Citizen Web Intake App,Closed,"1922 9TH AVE 1924 9TH AVENUE 1ST, SEATTLE, WA 98101",1270026.98432059,228426.579038343,47.61631329,-122.33518069,POINT (-122.33518069 47.61631329),98101,7,WEST,BELLTOWN
