Service Request Number,Service Request Type,City Department,Created Date,Method Received,Status,Location,X_Value,Y_Value,Latitude,Longitude,Latitude/Longitude,ZIP Code,Council District,Police Precinct,Neighborhood
23-00094142,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/21/2023 02:10:52 PM,Find It Fix It Apps,Closed,"1102 N 34TH ST, SEATTLE, WA 98103",1268144.0367663,240331.72376967,47.64884383,-122.343761,POINT (-122.343761 47.64884383),98103,4,NORTH,FREMONT
23-00094397,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/21/2023 06:18:46 PM,Find It Fix It Apps,Closed,"2506 N 38TH ST, SEATTLE, WA 98103",1271910.39389979,241873.304829057,47.65327087,-122.32860507,POINT (-122.32860507 47.65327087),98103,4,NORTH,WALLINGFORD
23-00094693,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/22/2023 11:54:49 AM,Find It Fix It Apps,Closed,"2803 S BAYVIEW ST, SEATTLE, WA 98144",1279405.77685823,215311.193498084,47.58085949,-122.29615033,POINT (-122.29615033 47.58085949),98144,2,SOUTH,MOUNT BAKER
23-00095020,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/22/2023 07:58:35 PM,Find It Fix It Apps,Closed,"3932 S FERDINAND ST, SEATTLE, WA 98118",1282735.56908843,206920.900210197,47.55803435,-122.28202129,POINT (-122.28202129 47.55803435),98118,2,SOUTH,COLUMBIA CITY
23-00095098,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/23/2023 08:06:04 AM,Find It Fix It Apps,Closed,"101 W EWING ST, SEATTLE, WA 98119",1264102.7504958,241414.123502579,47.65159201,-122.36024061,POINT (-122.36024061 47.65159201),98119,7,WEST,NORTH QUEEN ANNE
23-00095258,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/23/2023 12:34:07 PM,Find It Fix It Apps,Closed,"3109 S ADAMS ST, SEATTLE, WA 98108",1279969.46700291,209535.909512267,47.56505879,-122.29342286,POINT (-122.29342286 47.56505879),98108,2,SOUTH,COLUMBIA CITY
23-00095375,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/23/2023 03:29:27 PM,Find It Fix It Apps,Closed,"2107 E MERCER ST, SEATTLE, WA 98112",1277698.59330556,231167.678585209,47.62423278,-122.30429411,POINT (-122.30429411 47.62423278),98112,3,EAST,STEVENS
23-00095670,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 08:21:08 AM,Find It Fix It Apps,Closed,"2701 SW BARTON ST, SEATTLE, WA 98126",1261376.15305967,193811.753526006,47.52096774,-122.36745109,POINT (-122.36745109 47.52096774),98126,1,SOUTHWEST,ROXHILL
23-00095680,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 08:27:11 AM,Find It Fix It Apps,Closed,"4730 20TH AVE NE, SEATTLE, WA 98105",1277499.16876526,245650.505869508,47.66391954,-122.30622663,POINT (-122.30622663 47.66391954),98105,4,NORTH,UNIVERSITY DISTRICT
23-00095850,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 09:59:56 AM,Find It Fix It Apps,Closed,"5030 19TH AVE NE, SEATTLE, WA 98105",1277346.52272702,246329.360281812,47.66577226,-122.30689874,POINT (-122.30689874 47.66577226),98105,4,NORTH,UNIVERSITY DISTRICT
23-00095985,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 11:21:41 AM,Find It Fix It Apps,Closed,"925 E PIKE ST, SEATTLE, WA 98122",1273807.50464525,227453.57282117,47.61384752,-122.31977916,POINT (-122.31977916 47.61384752),98122,3,EAST,FIRST HILL
23-00096444,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 04:51:04 PM,Find It Fix It Apps,Closed,"2317 NE 89TH ST, SEATTLE, WA 98115",1278376.69540757,256194.538901991,47.69286655,-122.30348347,POINT (-122.30348347 47.69286655),98115,5,NORTH,WEDGWOOD
23-00096489,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 05:21:15 PM,Find It Fix It Apps,Closed,"327 ALASKAN WAY S, SEATTLE, WA 98104",1269582.8750369,222048.484772598,47.59880737,-122.33647592,POINT (-122.33647592 47.59880737),98104,2,WEST,PIONEER SQUARE
23-00096660,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/24/2023 11:07:54 PM,Find It Fix It Apps,Closed,"4401 AURORA AVE N, SEATTLE, WA 98103",1267180.47774263,244553.105525296,47.66036254,-122.34800651,POINT (-122.34800651 47.66036254),98103,6,NORTH,FREMONT
23-00096710,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 06:57:31 AM,Find It Fix It Apps,Reported,"1107 ALASKAN WAY, SEATTLE, WA 98101",1268926.96076918,224176.696121242,47.60460557,-122.33930273,POINT (-122.33930273 47.60460557),98101,7,WEST,CENTRAL BUSINESS DISTRICT
23-00096749,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 07:41:49 AM,Find It Fix It Apps,Closed,"3208 MCCLINTOCK AVE S, SEATTLE, WA 98144",1280254.74458595,213214.380085499,47.57515631,-122.29255005,POINT (-122.29255005 47.57515631),98144,2,SOUTH,MOUNT BAKER
23-00096743,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 07:35:51 AM,Find It Fix It Apps,Closed,"7535 21ST AVE SW, SEATTLE, WA 98106",1263198.91427069,198676.134129412,47.53440014,-122.36046627,POINT (-122.36046627 47.53440014),98106,1,SOUTHWEST,SOUTH DELRIDGE
23-00096891,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 09:18:33 AM,Find It Fix It Apps,Reported,"601 S KING ST, SEATTLE, WA 98104",1272165.73105298,221773.389975345,47.59819116,-122.32598755,POINT (-122.32598755 47.59819116),98104,2,WEST,INTERNATIONAL DISTRICT
23-00096887,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 09:16:35 AM,Find It Fix It Apps,Closed,"428 BROADWAY E, SEATTLE, WA 98102",1273670.99908239,230785.906188366,47.62297414,-122.32059358,POINT (-122.32059358 47.62297414),98102,3,EAST,BROADWAY
23-00097094,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 11:37:38 AM,Find It Fix It Apps,Closed,"4850 37TH AVE S, SEATTLE, WA 98118",1281760.10988376,207124.390265715,47.55854171,-122.28598673,POINT (-122.28598673 47.55854171),98118,2,SOUTH,COLUMBIA CITY
23-00097215,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 01:16:26 PM,Find It Fix It Apps,Closed,"1501 HARVARD AVE, SEATTLE, WA 98122",1273193.96900423,227658.18146331,47.61437583,-122.32228222,POINT (-122.32228222 47.61437583),98122,3,EAST,BROADWAY
23-00097345,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 02:57:08 PM,Find It Fix It Apps,Closed,"960 S HARNEY ST, SEATTLE, WA 98108",1273636.97793913,203659.010443198,47.54861808,-122.31860862,POINT (-122.31860862 47.54861808),98108,2,SOUTH,GEORGETOWN
23-00097398,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 03:27:22 PM,Find It Fix It Apps,Closed,"4754 RAVENNA AVE NE, SEATTLE, WA 98105",1278230.2319921,245877.598710591,47.66458032,-122.30327795,POINT (-122.30327795 47.66458032),98105,4,NORTH,UNIVERSITY DISTRICT
23-00097585,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 06:52:56 PM,Find It Fix It Apps,Closed,"5701 22ND AVE NW, SEATTLE, WA 98107",1257986.50124723,248473.9841534,47.67060721,-122.38562858,POINT (-122.38562858 47.67060721),98107,6,NORTH,ADAMS
23-00097662,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/25/2023 09:42:14 PM,Find It Fix It Apps,Reported,"13500 LINDEN AVE N, SEATTLE, WA 98133",1267845.44709061,268891.291880673,47.72710818,-122.3472514,POINT (-122.3472514 47.72710818),98133,5,NORTH,BITTER LAKE
23-00097703,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 06:04:06 AM,Find It Fix It Apps,Closed,"1446 NW LEARY WAY, SEATTLE, WA 98107",1260345.25238594,245976.117923001,47.66389075,-122.37585371,POINT (-122.37585371 47.66389075),98107,6,NORTH,WEST WOODLAND
23-00097744,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 07:20:42 AM,Find It Fix It Apps,Closed,"721 N 41ST ST, SEATTLE, WA 98103",1266847.54776174,243191.794730193,47.65661328,-122.34924846,POINT (-122.34924846 47.65661328),98103,6,NORTH,FREMONT
23-00097824,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 08:41:18 AM,Find It Fix It Apps,Closed -Incomplete Information,"116 BELL ST, SEATTLE, WA 98121",1267376.99942907,227617.830274851,47.61395426,-122.34585859,POINT (-122.34585859 47.61395426),98121,7,WEST,BELLTOWN
23-00098081,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 11:29:35 AM,Find It Fix It Apps,Closed,"1501 HARVARD AVE, SEATTLE, WA 98122",1273193.96900423,227658.18146331,47.61437583,-122.32228222,POINT (-122.32228222 47.61437583),98122,3,EAST,BROADWAY
23-00098090,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 11:36:37 AM,Find It Fix It Apps,Reported,"2199 N NORTHLAKE WAY, SEATTLE, WA 98103",1271150.94653752,240456.054064325,47.64934574,-122.33157393,POINT (-122.33157393 47.64934574),98103,4,NORTH,WALLINGFORD
23-00098491,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 04:10:43 PM,Find It Fix It Apps,Closed,"1506 5TH AVE, SEATTLE, WA 98101",1269913.01918998,226502.31217103,47.61103284,-122.3354904,POINT (-122.3354904 47.61103284),98101,7,WEST,CENTRAL BUSINESS DISTRICT
23-00098512,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 04:30:52 PM,Find It Fix It Apps,Closed,"801 WESTERN AVE, SEATTLE, WA 98104",1269591.22036179,223520.236238578,47.60284184,-122.33655862,POINT (-122.33655862 47.60284184),98104,7,WEST,CENTRAL BUSINESS DISTRICT
23-00098639,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 06:35:49 PM,Find It Fix It Apps,Closed -Incomplete Information,"825 N 127TH ST, SEATTLE, WA 98133",1267519.86090441,266782.112161166,47.72130947,-122.34840535,POINT (-122.34840535 47.72130947),98133,5,NORTH,BITTER LAKE
23-00098670,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/26/2023 07:46:21 PM,Find It Fix It Apps,Closed,"4524 19TH AVE NE, SEATTLE, WA 98105",1277304.90704934,244966.514469747,47.66203454,-122.30696169,POINT (-122.30696169 47.66203454),98105,4,NORTH,UNIVERSITY DISTRICT
23-00098812,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/27/2023 07:31:44 AM,Find It Fix It Apps,Closed,"4765 OHIO AVE S, SEATTLE, WA 98134",1268863.73616434,207174.047935402,47.5579985,-122.33821129,POINT (-122.33821129 47.5579985),98134,2,SOUTH,INDUSTRIAL DISTRICT
23-00099124,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/27/2023 11:11:26 AM,Find It Fix It Apps,Closed,"1300 STURGUS AVE S, SEATTLE, WA 98144",1275455.39246844,219225.166069677,47.59138065,-122.31245816,POINT (-122.31245816 47.59138065),98144,2,SOUTH,NORTH BEACON HILL
23-00099398,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/27/2023 02:24:54 PM,Find It Fix It Apps,Closed,"620 S KING ST, SEATTLE, WA 98104",1272320.37413309,221887.984310932,47.59851348,-122.32536989,POINT (-122.32536989 47.59851348),98104,2,WEST,INTERNATIONAL DISTRICT
23-00099555,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/27/2023 04:33:53 PM,Find It Fix It Apps,Reported,"11050 5TH AVE NE, SEATTLE, WA 98125",1273690.42236633,262635.737563066,47.71027466,-122.32301473,POINT (-122.32301473 47.71027466),98125,5,NORTH,PINEHURST
23-00099616,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/27/2023 05:22:15 PM,Find It Fix It Apps,Closed,"7503 5TH AVE NE, SEATTLE, WA 98115",1273479.70557254,252785.901513415,47.6832654,-122.32309602,POINT (-122.32309602 47.6832654),98115,6,NORTH,GREEN LAKE
23-00099759,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 04:37:24 AM,Find It Fix It Apps,Closed,"1529 9TH AVE, SEATTLE, WA 98101",1270732.59210278,227291.206022054,47.61323898,-122.33223068,POINT (-122.33223068 47.61323898),98101,7,WEST,CENTRAL BUSINESS DISTRICT
23-00099914,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 09:07:28 AM,Find It Fix It Apps,Closed,"1032 NE 65TH ST, SEATTLE, WA 98115",1275201.47482599,250110.67091223,47.67602382,-122.31589816,POINT (-122.31589816 47.67602382),98115,4,NORTH,ROOSEVELT
23-00100260,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 01:15:23 PM,Find It Fix It Apps,Closed,"2029 24TH AVE S, SEATTLE, WA 98144",1278014.746007,216719.158170104,47.58464608,-122.30189428,POINT (-122.30189428 47.58464608),98144,3,SOUTH,ATLANTIC
23-00100395,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 02:56:08 PM,Find It Fix It Apps,Closed,"8701 GREENWOOD AVE N, SEATTLE, WA 98103",1265476.90071991,256374.719496966,47.69267284,-122.35586722,POINT (-122.35586722 47.69267284),98103,6,NORTH,GREENWOOD
23-00100442,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 03:22:20 PM,Find It Fix It Apps,Closed,"8701 GREENWOOD AVE N, SEATTLE, WA 98103",1265476.90071991,256374.719496966,47.69267284,-122.35586722,POINT (-122.35586722 47.69267284),98103,6,NORTH,GREENWOOD
23-00100707,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/28/2023 09:31:09 PM,Find It Fix It Apps,Closed,"199 15TH AVE E, SEATTLE, WA 98112",1275492.49884382,229595.96863844,47.6198088,-122.31311592,POINT (-122.31311592 47.6198088),98112,3,EAST,BROADWAY
23-00100786,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/29/2023 07:57:56 AM,Find It Fix It Apps,Closed,"1201 UNIVERSITY ST, SEATTLE, WA 98101",1272384.55911957,226788.81776764,47.61194995,-122.32549491,POINT (-122.32549491 47.61194995),98101,3,EAST,FIRST HILL
23-00100919,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/29/2023 11:09:25 AM,Find It Fix It Apps,Reported,"757 N 103RD ST, SEATTLE, WA 98133",1267599.87629287,260268.77636334,47.70346107,-122.34755969,POINT (-122.34755969 47.70346107),98133,5,NORTH,GREENWOOD
23-00101138,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/29/2023 07:17:07 PM,Find It Fix It Apps,Closed -Incomplete Information,"371 NW 48TH ST, SEATTLE, WA 98107",1263320.97243627,245756.944857551,47.66345288,-122.36376226,POINT (-122.36376226 47.66345288),98107,6,NORTH,WEST WOODLAND
23-00101169,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/29/2023 08:31:43 PM,Find It Fix It Apps,Closed,"3500 46TH AVE NE, SEATTLE, WA 98105",1284466.80073358,242008.968412312,47.65430014,-122.277678,POINT (-122.277678 47.65430014),98105,4,NORTH,LAURELHURST
23-00101200,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/29/2023 10:42:41 PM,Citizen Web Intake App,Closed,"6204 20TH AVE NE, SEATTLE, WA 98115",1277567.56972902,248877.170796774,47.67276737,-122.30619969,POINT (-122.30619969 47.67276737),98115,4,NORTH,RAVENNA
23-00101247,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 08:02:58 AM,Find It Fix It Apps,Closed,"1198 SW CALIFORNIA PL, SEATTLE, WA 98116",1257950.74751056,220506.189398388,47.59394744,-122.38348727,POINT (-122.38348727 47.59394744),98116,1,SOUTHWEST,INDUSTRIAL DISTRICT
23-00101255,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 08:37:14 AM,Find It Fix It Apps,Closed,"1506 RAINIER AVE S, SEATTLE, WA 98144",1276945.4288741,218494.206190513,47.58945545,-122.30636408,POINT (-122.30636408 47.58945545),98144,3,SOUTH,ATLANTIC
23-00101311,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 10:05:56 AM,Find It Fix It Apps,Closed,"7315 45TH AVE S, SEATTLE, WA 98118",1283739.61912389,199019.939933453,47.53642949,-122.27735523,POINT (-122.27735523 47.53642949),98118,2,SOUTH,BRIGHTON
23-00101298,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 09:51:50 AM,Find It Fix It Apps,Closed,"7329 45TH AVE S, SEATTLE, WA 98118",1283832.01954591,199080.240263144,47.53659953,-122.27698581,POINT (-122.27698581 47.53659953),98118,2,SOUTH,BRIGHTON
23-00101409,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 12:47:08 PM,Find It Fix It Apps,Closed,"5244 UNIVERSITY WAY NE, SEATTLE, WA 98105",1275926.95575848,247107.920884989,47.66783162,-122.31271955,POINT (-122.31271955 47.66783162),98105,4,NORTH,UNIVERSITY DISTRICT
23-00101433,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 01:17:25 PM,Find It Fix It Apps,Closed,"4401 AURORA AVE N, SEATTLE, WA 98103",1267180.47774263,244553.105525296,47.66036254,-122.34800651,POINT (-122.34800651 47.66036254),98103,6,NORTH,FREMONT
23-00101497,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 03:10:14 PM,Find It Fix It Apps,Closed,"700 SENECA ST, SEATTLE, WA 98101",1271134.62520371,225819.953056632,47.60922777,-122.330485,POINT (-122.330485 47.60922777),98101,7,EAST,FIRST HILL
23-00101551,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 04:42:57 PM,Find It Fix It Apps,Reported,"8715 GREENWOOD AVE N, SEATTLE, WA 98103",1265493.4956211,256515.517028041,47.69305966,-122.35581116,POINT (-122.35581116 47.69305966),98103,6,NORTH,GREENWOOD
23-00101619,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,04/30/2023 06:25:45 PM,Find It Fix It Apps,Closed,"4202 50TH AVE S, SEATTLE, WA 98118",1285640.45950461,209448.860372147,47.56511283,-122.27044976,POINT (-122.27044976 47.56511283),98118,2,SOUTH,SEWARD PARK
23-00101801,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 07:55:09 AM,Find It Fix It Apps,Closed,"4509 15TH AVE S, SEATTLE, WA 98108",1274933.49885988,208924.532013907,47.56311926,-122.31376979,POINT (-122.31376979 47.56311926),98108,2,SOUTH,MID-BEACON HILL
23-00101817,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 08:13:20 AM,Find It Fix It Apps,Closed,"3001 ALKI AVE SW, SEATTLE, WA 98116",1249807.26671236,214789.77103334,47.57782479,-122.41600758,POINT (-122.41600758 47.57782479),98116,1,SOUTHWEST,ALKI
23-00101910,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 09:15:46 AM,Find It Fix It Apps,Closed,"1032 NE 65TH ST, SEATTLE, WA 98115",1275201.47482599,250110.67091223,47.67602382,-122.31589816,POINT (-122.31589816 47.67602382),98115,4,NORTH,ROOSEVELT
23-00101905,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 09:11:44 AM,Find It Fix It Apps,Closed,"1753 NW 57TH ST, SEATTLE, WA 98107",1259061.62560766,248208.718024162,47.6699395,-122.38124414,POINT (-122.38124414 47.6699395),98107,6,NORTH,ADAMS
23-00102338,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 01:47:51 PM,Find It Fix It Apps,Closed,"6001 SEAVIEW AVE NW, SEATTLE, WA 98107",1252926.48653155,249186.750282017,47.6722792,-122.40622077,POINT (-122.40622077 47.6722792),98107,6,NORTH,SUNSET HILL
23-00102575,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 04:35:11 PM,Find It Fix It Apps,Closed,"801 WESTERN AVE, SEATTLE, WA 98104",1269591.22036179,223520.236238578,47.60284184,-122.33655862,POINT (-122.33655862 47.60284184),98104,7,WEST,CENTRAL BUSINESS DISTRICT
23-00102599,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 04:51:15 PM,Find It Fix It Apps,Closed -Incomplete Information,"7323 38TH AVE S, SEATTLE, WA 98118",1281877.99310718,199003.925603028,47.53628959,-122.28488909,POINT (-122.28488909 47.53628959),98118,2,SOUTH,HOLLY PARK
23-00102724,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 08:20:50 PM,Find It Fix It Apps,Reported,"11255 3RD AVE NE, SEATTLE, WA 98125",1272895.92494348,262614.26860306,47.71017361,-122.32623957,POINT (-122.32623957 47.71017361),98125,5,NORTH,PINEHURST
23-00102747,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/01/2023 09:11:13 PM,Find It Fix It Apps,Closed,"6057 3RD AVE NW, SEATTLE, WA 98107",1264050.11005273,249596.963047584,47.67401787,-122.36111321,POINT (-122.36111321 47.67401787),98107,6,NORTH,WEST WOODLAND
23-00103190,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 11:45:54 AM,Find It Fix It Apps,Closed,"10351 RAINIER AVE S, SEATTLE, WA 98178",1292975.96512708,189396.262036338,47.51051962,-122.23925821,POINT (-122.23925821 47.51051962),98178,2,SOUTH,RAINIER BEACH
23-00103260,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 12:26:12 PM,Find It Fix It Apps,Closed,"2865 EASTLAKE AVE E, SEATTLE, WA 98102",1272771.42138949,239651.490881738,47.64722675,-122.32493748,POINT (-122.32493748 47.64722675),98102,4,WEST,EASTLAKE
23-00103441,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 02:15:08 PM,Find It Fix It Apps,Closed,"1507 21ST AVE S, SEATTLE, WA 98144",1277177.91403219,218390.832676937,47.5891843,-122.30541411,POINT (-122.30541411 47.5891843),98144,3,SOUTH,ATLANTIC
23-00103577,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 03:55:50 PM,Find It Fix It Apps,Closed -Incomplete Information,"6701 31ST AVE SW, SEATTLE, WA 98126",1260286.05696449,201665.202748045,47.54243394,-122.37249758,POINT (-122.37249758 47.54243394),98126,1,SOUTHWEST,HIGH POINT
23-00103626,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 04:32:06 PM,Citizen Web Intake App,Reported,"PINE ST & 5TH AVE, SEATTLE, WA",1269672.54335454,226740.198717083,47.61167201,-122.33648396,POINT (-122.33648396 47.61167201),,7,WEST,CENTRAL BUSINESS DISTRICT
23-00103743,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 07:35:30 PM,Find It Fix It Apps,Closed -Incomplete Information,"1747 S HANFORD ST, SEATTLE, WA 98144",1276220.92974454,213202.431270295,47.57491271,-122.30888837,POINT (-122.30888837 47.57491271),98144,2,SOUTH,NORTH BEACON HILL
23-00103765,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/02/2023 08:07:45 PM,Find It Fix It Apps,Closed,"3931 LEARY WAY NW, SEATTLE, WA 98107",1263885.11092749,242615.660309391,47.65487352,-122.36122024,POINT (-122.36122024 47.65487352),98107,6,NORTH,FREMONT
23-00104659,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/03/2023 05:19:27 PM,Find It Fix It Apps,Closed,"601 S KING ST, SEATTLE, WA 98104",1272165.73105298,221773.389975345,47.59819116,-122.32598755,POINT (-122.32598755 47.59819116),98104,2,WEST,INTERNATIONAL DISTRICT
23-00104700,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/03/2023 06:25:57 PM,Find It Fix It Apps,Closed,"3201 BEACON AVE S, SEATTLE, WA 98144",1276092.79230386,213207.127510308,47.57491884,-122.30940777,POINT (-122.30940777 47.57491884),98144,2,SOUTH,NORTH BEACON HILL
23-00104780,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/03/2023 08:53:04 PM,Find It Fix It Apps,Closed,"5130 40TH AVE NE, SEATTLE, WA 98105",1282944.87397058,246683.265281609,47.66703391,-122.28420963,POINT (-122.28420963 47.66703391),98105,4,NORTH,BRYANT
23-00105091,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/04/2023 10:09:10 AM,Find It Fix It Apps,Reported,"8701 GREENWOOD AVE N, SEATTLE, WA 98103",1265476.90071991,256374.719496966,47.69267284,-122.35586722,POINT (-122.35586722 47.69267284),98103,6,NORTH,GREENWOOD
23-00105872,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/05/2023 08:41:30 AM,Find It Fix It Apps,Closed,"1792 W DRAVUS ST, SEATTLE, WA 98119",1259175.30501235,240406.330153485,47.64855996,-122.38014637,POINT (-122.38014637 47.64855996),98119,7,WEST,INTERBAY
23-00105865,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/05/2023 08:33:27 AM,Find It Fix It Apps,Closed,"544 19TH AVE, SEATTLE, WA 98122",1276827.21736983,225074.27221282,47.60748512,-122.30735375,POINT (-122.30735375 47.60748512),98122,3,EAST,MINOR
23-00105992,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/05/2023 10:26:21 AM,Find It Fix It Apps,Closed,"1414 E YESLER WAY, SEATTLE, WA 98122",1275291.70494681,223045.007145662,47.60184215,-122.3134191,POINT (-122.3134191 47.60184215),98122,3,EAST,MINOR
23-00106663,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/06/2023 09:28:52 AM,Find It Fix It Apps,Closed,"515 BOYLSTON AVE E, SEATTLE, WA 98102",1273001.49003573,231132.532776052,47.62388873,-122.32333517,POINT (-122.32333517 47.62388873),98102,3,EAST,BROADWAY
23-00106660,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/06/2023 09:20:48 AM,Find It Fix It Apps,Closed,"7000 35TH AVE NE, SEATTLE, WA 98115",1281586.20158087,251286.09419286,47.67957988,-122.29007637,POINT (-122.29007637 47.67957988),98115,4,NORTH,BRYANT
23-00106882,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/06/2023 03:11:29 PM,Find It Fix It Apps,Closed -Incomplete Information,"1020 BELLEVUE CT E, SEATTLE, WA 98102",1272145.66336588,232501.43962539,47.62759539,-122.32691272,POINT (-122.32691272 47.62759539),98102,3,EAST,BROADWAY
23-00107119,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/07/2023 09:27:52 AM,Find It Fix It Apps,Closed,"4859 S SPENCER ST, SEATTLE, WA 98118",1285593.77979078,203051.721257341,47.54757579,-122.27015505,POINT (-122.27015505 47.54757579),98118,2,SOUTH,SEWARD PARK
23-00107152,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/07/2023 10:18:15 AM,Find It Fix It Apps,Closed,"6900 36TH AVE SW, SEATTLE, WA 98126",1259011.70867984,201125.3555203,47.54088427,-122.37761223,POINT (-122.37761223 47.54088427),98126,1,SOUTHWEST,GATEWOOD
23-00107190,Public Litter and Recycling Cans,SPU-Seattle Public Utilities,05/07/2023 11:42:54 AM,Find It Fix It Apps,Closed,"8117 10TH AVE S, SEATTLE, WA 98108",1273041.53878025,196861.590578514,47.52995496,-122.32048738,POINT (-122.32048738 47.52995496),98108,1,SOUTHWEST,SOUTH PARK
